"","Nom","Prénom","Canton","Parti","Age","Date de naissance"
"1","Haller","Chiara","Zurich","PEV",18,2005-10-22
"2","Suter","Meo","Bâle-Campagne","PS",18,2005-09-29
"3","Eckert","Leona","Grisons","PEV",18,2005-09-28
"4","Speer","Jelena","Zurich","PS",18,2005-09-12
"5","Ramé","Jean-François","Valais","UDC",18,2005-09-05
"6","Schmidbauer","Georg","Zurich","PVL",18,2005-08-26
"7","Freienmuth","Emilia","Thurgovie","Les Vert-e-s",18,2005-08-23
"8","Haefeli","Ella","Bâle-Ville","PS",18,2005-08-21
"9","Del Fabro","Melanie","Argovie","PS",18,2005-08-20
"10","Zibetti","Chiara","Vaud","PLR",18,2005-08-19
"11","Semenova","Daria","Zurich","PS",18,2005-08-17
"12","Yasseri Sharif","Noor","Zoug","PLR",18,2005-08-12
"13","Coral","Tanguy","Fribourg","UDC",18,2005-07-31
"14","Fellmann","Anastassya","Tessin","UDC",18,2005-07-28
"15","Haddad","Gabriel","Genève","Le Centre",18,2005-07-21
"16","Schneider","Mona","Thurgovie","Le Centre",18,2005-07-16
"17","Vogel","Nora","Vaud","PS",18,2005-07-15
"18","Schelbert","Petra","Schwyz","PS",18,2005-07-13
"19","Saiah","Abdel","Vaud","PS",18,2005-07-13
"20","Valsangiacomo","Alex","Tessin","Autres",18,2005-07-07
