"","Jahrgang","Name","Vorname","Kanton","Partei","Alter","Geburtsdatum"
"1",2023,"Gapany","Johanna","Freiburg","FDP",35,1988-07-25
"2",2023,"Hurni","Baptiste","Neuenburg","SP",38,1986-04-04
"3",2023,"Müller","Damian","Luzern","FDP",39,1984-10-25
"4",2023,"Vara","Céline","Neuenburg","Grüne",39,1984-10-04
"5",2023,"Zopfi","Mathias","Glarus","Grüne",40,1983-12-14
"6",2023,"Caroni","Andrea","Appenzell Ausserrhoden","FDP",44,1980-04-19
"7",2023,"Crevoisier Crelier","Mathilde","Jura","SP",44,1980-01-05
"8",2023,"Moser","Tiana Angelina","Zürich","GLP",45,1979-04-06
"9",2023,"Wasserfallen","Flavia","Bern","SP",45,1979-02-07
"10",2023,"Mühlemann","Benjamin","Glarus","FDP",45,1979-02-01
